Initial_sample_name,Current_sample_name
E1,MVC1
E10,MVC10
E100,MVC100
E102,MVC102
E103,MVC103
E107,MVC107
E108,MVC108
E109,MVC109
E110,MVC110
E116,MVC116
E117,MVC117
E118,MVC118
E119,MVC119
E121,MVC121
E122,MVC122
E126,MVC126
E127,MVC127
E130,MVC130
E131,MVC131
E133,MVC133
E134,MVC134
E135,MVC135
E136,MVC136
E137,MVC137
E138,MVC138
E139,MVC139
E140,MVC140
E141,MVC141
E142,MVC142
E145,MVC145
E147,MVC147
E148,MVC148
E151,MVC151
E152,MVC152
E153,MVC153
E154,MVC154
E16,MVC16
E164,MVC164
E166,MVC166
E171,MVC171
E175,MVC175
E176,MVC176
E18,MVC18
E180,MVC180
E182,MVC182
E183,MVC183
E184,MVC184
E186,MVC186
E198,MVC198
E199,MVC199
E20,MVC20
E201,MVC201
E202,MVC202
E204,MVC204
E205,MVC205
E206,MVC206
E207,MVC207
E208,MVC208
E209,MVC209
E210,MVC210
E211,MVC211
E212,MVC212
E214,MVC214
E215,MVC215
E217,MVC217
E219,MVC219
E222,MVC222
E223,MVC223
E224,MVC224
E225,MVC225
E227,MVC227
E234,MVC234
E239,MVC239
E243,MVC243
E249,MVC249
E251,MVC251
E252,MVC252
E253,MVC253
E254,MVC254
E255,MVC255
E256,MVC256
E257,MVC257
E262,MVC262
E263,MVC263
E266,MVC266
E269,MVC269
E27,MVC27
E270,MVC270
E272,MVC272
E274,MVC274
E275,MVC275
E276,MVC276
E277,MVC277
E278,MVC278
E279,MVC279
E282,MVC282
E284,MVC284
E285,MVC285
E286,MVC286
E287,MVC287
E29,MVC29
E292,MVC292
E295,MVC295
E296,MVC296
E297,MVC297
E298,MVC298
E299,MVC299
E30,MVC30
E300,MVC300
E301,MVC301
E302,MVC302
E303,MVC303
E304,MVC304
E306,MVC306
E307,MVC307
E308,MVC308
E309,MVC309
E31,MVC31
E312,MVC312
E313,MVC313
E315,MVC315
E316,MVC316
E317,MVC317
E32,MVC32
E321,MVC321
E324,MVC324
E325,MVC325
E327,MVC327
E328,MVC328
E329,MVC329
E33,MVC33
E330,MVC330
