Genus	year	Date submitted	Case_Reference	Case_number	Collection_(clean)	Plate	Remarks	Patient / Shed Number	Species type	Specimen	Info/Nota	Amp 25-d	Amc 30-d	CL 100-d	Eft 30-d	Enr 5-d	Te 30-d	SF 300-d	W 5-d	Cn10-d	Ery 5-d	Tic 75-d	Ak 30-d
Escherichia	2007	7/2/07	CM2007-0155 Box 4 >> Tube 4	CM2007-0155	Box 04 Tube 4	Ec-799	not sent	236218	Canine	urinary	NA	S	S	S	.	S	S	R	S	.	.	.	.
Proteus	2007	3/4/07	CM2007-0339 Box 4 >> tube 18	CM2007-0339	Box 04 Tube 18	P1	not sent	1643	Canine	urinary	Non-swarming	S	S	S	.	S	R	R	S	.	.	.	.
Escherichia	2006	12/12/06	CM2006-0704 Box 4 >> Tube 24	CM2006-0704	Box 04 Tube 24	Ec-800	not sent	234862	Equine	no info	wound swab	S	.	.	S	.	S	S	S	S	.	.	.
Klebsiella	2007	19/1/07	CM2007-0082 Box 4 >> Tube 37	CM2007-0082	Box 04 Tube 37	K1	not sent	235825	Avian	musculo-skeletal	NA	.	.	.	.	.	R	R	R	.	R	.	.
Escherichia	2007	19/3/07	CM2007-0302 Box 4 >> tube 45	CM2007-0302	Box 04 Tube 45	Ec-801	not sent	230569	Feline	reproductive	NA	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2007	2/3/07	CM2007-0232 Box 4 >> Tube 49	CM2007-0232	Box 04 Tube 49	Ec-802	not sent	106702	Feline	urinary	NA	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2007	8/3/07	CM2007-0257 Box 4 >> Tube 50	CM2007-0257	Box 04 Tube 50	Ec-803	not sent	236910	Canine	systemic or large cavities	peritoneal fluid	R	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2007	18/1/07	CM2007-0076 Box 4 >> Tube 51	CM2007-0076	Box 04 Tube 51	Ec-804	not sent	102321	Canine	cardiovascular	catheter	R	R	R	.	S	R	S	S	.	.	.	.
Escherichia	2007	4/4/07	CM2007-0342 Box 4 >> Tube 54	CM2007-0342	Box 04 Tube 54	Ec-805	not sent	212701	Equine	systemic or large cavities	NA	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2007	7/3/07	CM2007-0250 Box 4 >> Tube 55	CM2007-0250	Box 04 Tube 55	Ec-806	not sent	236770	Equine	musculo-skeletal	NA	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2007	2/3/07	CM2007-0231 Box 4 >> Tube 56	CM2007-0231	Box 04 Tube 56	Ec-807	not sent	236539	Equine	skin and subcutis	wound swab	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2007	1/5/07	CM2007-0412 Box 5 >> Tube 1	CM2007-0412	Box 05 Tube 1	Ec-808	not sent	237438	Canine	musculo-skeletal	Surgical	R	R	R	.	S	S	S	S	.	.	.	.
Klebsiella	2007	15/5/07	CM2007-0453 Box 5 >> Tube 2	CM2007-0453	Box 05 Tube 2	K2	not sent	no info	Avian	systemic or large cavities	Salmonella??? See tube 2.	.	.	.	.	.	S	S	S	.	R	.	.
Escherichia	2007	31/10/07	CM2007-1031 Box 5 >> Tube 18	CM2007-1031	Box 05 Tube 18	Ec-809	not sent	241014	Canine	urinary	Urine (free catch) x1	R	R	R	.	R	R	R	R	.	.	.	.
Escherichia	2008	13/2/08	CM2008-0113 Box 5 >> Tube 44	CM2008-0113	Box 05 Tube 44	Ec-810	not sent	243342	Feline	digestive	Abdo fluid x1	R	S	R	.	R	S	R	S	.	.	.	.
Escherichia	2008	13/2/08	CM2008-0114 Box 5 >> Tube 45	CM2008-0114	Box 05 Tube 45	Ec-811	not sent	244067	Canine	cardiovascular	Jugular catheter x1	R	R	S	.	S	S	R	R	.	.	.	.
Escherichia	2008	20/2/08	CM2008-0124 Box5 >> Tube 46	CM2008-0124	Box 05 Tube 46	Ec-812	not sent	231500	Canine	respiratory	Tracheal lavage (2ml received - very turbid so processed unpsun)	R	R	R	.	S	S	S	S	.	.	.	.
Escherichia	2008	15/4/08	CM2008-0234 Box 5 >> Tube 55 (org1) & Tube 56 (org2)	CM2008-0234	Box 05 Tube 55 (org1) & Tube 56 (org2)	Ec-813	not sent	2	Avian	systemic or large cavities	"Shed 2 heart blood swabs x2, Shed 2 Liver swab x1."	.	.	.	.	.	.	R	R	.	R	.	.
Escherichia	2007	8/10/07	CM2007-0918 Box 5 >> Tube 58	CM2007-0918	Box 05 Tube 58	Ec-814	not sent	133786	Feline	musculo-skeletal	Fluid (left elbow?) x1	R	R	R	.	S	R	R	R	.	.	.	.
Escherichia	2008	14/3/08	CM2008-0162 Box 5 >> Tube 59	CM2008-0162	Box 05 Tube 59	Ec-815	not sent	243233	Canine	urinary	"urine, cloudy"	R	R	R	.	S	R	R	R	.	.	.	.
Escherichia	2008	20/5/08	CM2008-0301 Box 5 >> Tube 61	CM2008-0301	Box 05 Tube 61	Ec-816	not sent	246774	Canine	respiratory	Mucopurulent nasal discharge swab x1	R	R	R	.	R	R	R	S	.	.	.	.
Klebsiella	2009	12/6/09	CM2009-0475 Box6 >> T22	CM2009-0475	Box 06 Tube 22	K3	not sent	255417	Canine	digestive	diarrhoea-faecal spec.	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2009	15/6/09	CM2009-0480 Box6 T23	CM2009-0480	Box 06 Tube 23	K4	not sent	247309	Canine	digestive	"feacal swab

not charged"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	14/12/09	"CM2009-0996 Box6 T75,  76"	CM2009-0996	"Box 06 Tube 75 , 76"	Ec-817	not sent	No info.	Avian	Other	"Saiful/Marc Research air sampler isolates Pos 3 isolate x1, Neg 2 isolate x1, 

Neg 3 isolate x1, Neg 4 isolate x1,"	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2010	2/2/10	CM2010-0079 Box7 Tube 21	CM2010-0079	Box 07 Tube 21	K5	not sent	244290	Canine	urinary	"Urine x1 (~1ml received, processed spun)"	R	S	S	.	R	S	R	R	.	.	.	.
Proteus	2010	18/2/10	CM2010-0121 Box7 Tube 42	CM2010-0121	Box 07 Tube 42	P2	not sent	no info	Exotic/other	systemic or large cavities	Australian fur seal; Lymph nodes pooled x1 & Lung tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2010	19/7/10	CM2010-0318 Box 8 Tube 1	CM2010-0318	Box 08 Tube 1	K6	not sent	256224	Canine	urinary	"Urine, spun."	R	S	S	.	S	S	S	S	.	.	.	.
Proteus	2010	4/8/10	CM2010-0360 Box 8 Tube 13	CM2010-0360	Box 08 Tube 13	P3	not sent	265332	Canine	urinary	Aspirate from renal pelvis	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2010	1/11/10	CM2010-0561 Box 8 Tube 79	CM2010-0561	Box 08 Tube 79	K7	not sent	267272	Canine	respiratory	Swab from ET Tube	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2011	17/2/11	CM2011-0088 Box 9 Tube 47	CM2011-0088	Box 09 Tube 47	K8	not sent	258364	Canine	urinary	Urine	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2011	28/2/11	CM2011-0111 Box 9 Tube 51	CM2011-0111	Box 09 Tube 51	K9	not sent	242358	Canine	urinary	Cystocentesis	R	S	S	.	S	S	S	S	.	.	.	.
Klebsiella	2011	4/3/11	CM2011-0120 Box 9 Tube 53	CM2011-0120	Box 09 Tube 53	K10	not sent	237519	Canine	respiratory	ET Tube - purulent mucus	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2011	31/3/11	CM2011-0189 Box 9 Tube 69	CM2011-0189	Box 09 Tube 69	K11	not sent	W307-11	Exotic/other	systemic or large cavities	"Goat Project

Lung from animal #1

Liver and Lung from #3

Liver and Lung from #4"	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2011	30/3/11	CM2011-0187 Box 9 Tube 72	CM2011-0187	Box 09 Tube 72	K12	not sent	NA	Exotic/other	musculo-skeletal	"Goat Project

Swab from carpus of goat 1

Synovial chunk from stifle of goat 3"	R	.	.	S	S	R	R	R	S	.	R	.
Klebsiella	2011	4/4/11	CM2011-0194 Box 9 Tube 73	CM2011-0194	Box 09 Tube 73	K13	not sent	271297	Exotic/other	cardiovascular	"Goat Project

Pericardial effusion"	R	.	.	S	S	R	R	R	S	.	R	.
Klebsiella	2011	6/4/11	CM2011-0202 Box 9 Tube 77	CM2011-0202	Box 09 Tube 77	K14	not sent	271136	Feline	systemic or large cavities	peritoneal fluid	R	R	R	.	S	S	R	S	.	.	.	.
Klebsiella	2011	7/4/11	CM2011-0207 Box 9 Tube 80	CM2011-0207	Box 09 Tube 80	K15	not sent	87614	Canine	systemic or large cavities	"Urine, splenic mass, lymph node, anguinal LN"	R	S	S	.	S	S	S	S	.	.	.	.
Klebsiella	2011	7/4/11	CM2011-0208 Box 9 Tube 81	CM2011-0208	Box 09 Tube 81	K16	not sent	w353-11	Ovine	systemic or large cavities	2 X lung and liver from 348-11	R	.	.	S	S	R	R	S	S	.	R	.
Proteus	2011	2/5/11	CM2011-0245 Box 10 Tube 7	CM2011-0245	Box 10 Tube 7	P4	not sent	249180	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2011	23/5/11	CM2011-0292 Box 10 Tube 28	CM2011-0292	Box 10 Tube 28	K17	not sent	272200	Equine	skin and subcutis	Incisional discharge	R	.	.	R	S	R	R	R	R	.	R	.
Klebsiella	2011	25/5/11	CM2011-0296 Box 10 Tube 31	CM2011-0296	Box 10 Tube 31	K18	not sent	267173	Avian	skin and subcutis	lesion near R axilla - swab	S	R	.	.	S	S	S	.	.	R	.	.
Klebsiella	2011	26/5/11	CM2011-0300 Box 10 Tube 34	CM2011-0300	Box 10 Tube 34	K19	not sent	272393	Canine	skin and subcutis	Swab and sutures from infected linea alba closure	R	S	S	.	S	S	S	S	.	.	.	.
Proteus	2011	16/6/11	CM2011-0334 Box 10 Tube 46	CM2011-0334	Box 10 Tube 46	P5	not sent	69805	Canine	ear	Swabs from L + R ear	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2011	5/7/11	CM2011-0389 Box 10 Tube 55	CM2011-0389	Box 10 Tube 55	K20	not sent	273147	Equine	skin and subcutis	Swab from incition site	R	.	.	S	S	S	R	R	R	.	R	.
