name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
MVC330	Escherichia marmotae	1499973	S	833	64	897	0.00023999999999999998
MVC330	[Enterobacter] lignolyticus	1334193	S	53	0	53	1e-05
MVC330	Citrobacter sp. CRE-46	1703250	S	4	30	34	1e-05
MVC330	Citrobacter amalonaticus	35703	S	44	102	146	4e-05
MVC330	Raoultella ornithinolytica	54291	S	34	39	73	2e-05
MVC330	Cronobacter condimenti	1163710	S	22	3	25	1e-05
MVC330	Lelliottia nimipressuralis	69220	S	9	1	10	0.0
MVC330	Leclercia sp. LSNIH1	1920114	S	9	13	22	1e-05
MVC330	Citrobacter freundii	546	S	52	173	225	5.9999999999999995e-05
MVC330	Citrobacter sp. CFNIH10	1920110	S	4	54	58	2e-05
MVC330	Citrobacter koseri	545	S	241	22	263	7e-05
MVC330	Klebsiella aerogenes	548	S	34	0	34	1e-05
MVC330	Escherichia virus HK022	10742	S	99	90	189	5e-05
MVC330	Salmonella bongori	54736	S	86	0	86	2e-05
MVC330	Dickeya dadantii	204038	S	5	12	17	0.0
MVC330	Aggregatibacter actinomycetemcomitans	714	S	4	0	4	0.0
MVC330	Salmonella enterica	28901	S	1177	1442	2619	0.0006900000000000001
MVC330	Lelliottia amnigena	61646	S	47	1	48	1e-05
MVC330	Enterobacter ludwigii	299767	S	4	13	17	0.0
MVC330	Kosakonia cowanii	208223	S	53	0	53	1e-05
MVC330	Enterobacteria phage mEp460	1147152	S	163	431	594	0.00016
MVC330	Serratia plymuthica	82996	S	9	9	18	0.0
MVC330	Brenneria sp. EniD312	598467	S	12	1	13	0.0
MVC330	Kosakonia radicincitans	283686	S	6	7	13	0.0
MVC330	Klebsiella quasipneumoniae	1463165	S	72	26	98	2.9999999999999997e-05
MVC330	Cedecea neteri	158822	S	57	0	57	2e-05
MVC330	Salmonella virus HK620	155148	S	125	110	235	5.9999999999999995e-05
MVC330	Enterobacter sp. SA187	1914861	S	105	1	106	2.9999999999999997e-05
MVC330	Enterobacter sp. FY-07	1692238	S	30	0	30	1e-05
MVC330	secondary endosymbiont of Trabutina mannipara	1835721	S	4	0	4	0.0
MVC330	Enterobacteriaceae bacterium w17	2282309	S	5	13	18	0.0
MVC330	Cronobacter turicensis	413502	S	7	3	10	0.0
