name	pMLST_scheme	pMLST
MVC100	IncF RST	F-:A-:B-
MVC102	IncF RST	F1:A2:B20
MVC103	IncF RST	F1:A1:B1
MVC107	IncF RST	F-:A-:B-
MVC108	IncF RST	F-:A-:B-
MVC109	IncF RST	F51:A-:B10
MVC10	IncF RST	F24:A-:B40
MVC110	IncF RST	F1:A1:B1
MVC116	IncF RST	F1:A2:B20
MVC117	IncF RST	F-:A-:B-
MVC118	IncF RST	F-:A-:B-
MVC119	IncF RST	F-:A-:B-
MVC121	IncF RST	F-:A-:B-
MVC122	IncF RST	F-:A-:B-
MVC126	IncF RST	F104:A-:B1
MVC127	IncF RST	F35:A-:B-
MVC130	IncF RST	F4:A-:B1
MVC133	IncF RST	F2:A-:B1
MVC134	IncF RST	F-:A-:B-
MVC135	IncF RST	F-:A1:B32
MVC136	IncF RST	F96:A-:B-
MVC137	IncF RST	F-:A6:B-
MVC138	IncF RST	F96:A-:B-
MVC139	IncF RST	F-:A-:B-
MVC140	IncF RST	C5:A-:B53
MVC141	IncF RST	F-:A-:B-
MVC142	IncF RST	F2:A-:B1
MVC145	IncF RST	F29:A-:B10
MVC147	IncF RST	F14:A-:B-
MVC148	IncF RST	C4:A-:B1
MVC151	IncF RST	F-:A-:B-
MVC152	IncF RST	F-:A-:B-
MVC154	IncF RST	F-:A-:B1
MVC164	IncF RST	F1:A1:B1
MVC166	IncF RST	F-:A-:B-
MVC16	IncF RST	F-:A-:B-
MVC171	IncF RST	F57:A-:B45
MVC175	IncF RST	F-:A-:B-
MVC176	IncF RST	F-:A-:B-
MVC180	IncF RST	F-:A-:B-
MVC182	IncF RST	F-:A-:B-
MVC183	IncF RST	F-:A-:B-
MVC184	IncF RST	F-:A-:B-
MVC186	IncF RST	F-:A-:B-
MVC18	IncF RST	F-:A-:B52
MVC198	IncF RST	F-:A-:B-
MVC199	IncF RST	F-:A-:B-
MVC1	IncF RST	F-:A-:B-
MVC202	IncF RST	F-:A-:B-
MVC204	IncF RST	F-:A-:B-
MVC205	IncF RST	F-:A-:B-
MVC206	IncF RST	F-:A-:B-
MVC207	IncF RST	C4:A-:B1
MVC208	IncF RST	F-:A-:B-
MVC209	IncF RST	F-:A-:B-
MVC20	IncF RST	F-:A-:B-
MVC210	IncF RST	F-:A-:B-
MVC211	IncF RST	F89:A-:B-
MVC212	IncF RST	F-:A-:B-
MVC214	IncF RST	F-:A-:B-
MVC215	IncF RST	C4:A-:B42
MVC217	IncF RST	F29:A-:B10
MVC219	IncF RST	F-:A-:B29
MVC222	IncF RST	F-:A-:B-
