#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MVC102.fasta	contig00025	24280	24390	+	gb|CP014489.1|:130176-132039	1743-1853/1864	..............=	0/0	5.95	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00039	11313	11422	+	gb|CP014489.1|:130176-132039	1743-1852/1864	..............=	0/0	5.9	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00043	1	110	-	gb|CP014489.1|:130176-132039	1743-1852/1864	..............=	0/0	5.9	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00043	8990	10080	-	gb|CP014489.1|:130176-132039	266-1354/1864	.=======/===...	2-Jun	58.32	93.69	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00046	5895	6008	+	gb|CP014489.1|:130176-132039	1740-1853/1864	..............=	0/0	6.12	99.12	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00047	1	111	-	gb|CP014489.1|:130176-132039	1742-1852/1864	..............=	0/0	5.95	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00072	1	84	+	gb|CP014489.1|:130176-132039	1781-1864/1864	..............=	0/0	4.51	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00082	1	111	-	gb|CP014489.1|:130176-132039	1742-1852/1864	..............=	0/0	5.95	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC102.fasta	contig00085	299	382	-	gb|CP014489.1|:130176-132039	1781-1864/1864	..............=	0/0	4.51	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
MVC103.fasta	contig00019	88569	88679	+	gb|CP014489.1|:130176-132039	1743-1853/1864	..............=	0/0	5.95	100	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
