Name	CONTIG	GENE	GENELEN	ID	NBASE	QSTART	QEND	SSTART	SEND
MVC102	contig00043	intI1	1014	99.866	746	9332	10077	1	746
MVC103	contig00076	intI1	1014	99.901	1014	140	1153	1	1014
MVC110	contig00119	intI1	1014	99.901	1014	140	1153	1	1014
MVC116	contig00043	intI1	1014	99.866	746	9332	10077	1	746
MVC126	contig00069	intI1	1014	98.997	299	10668	10966	1	299
MVC135	contig00048	intI1	1014	100	1014	9332	10345	1	1014
MVC142	contig00055	intI1	1014	99.901	1014	6623	7636	1014	1
MVC148	contig00033	intI1	1014	99.901	1014	840	1853	1	1014
MVC154	contig00025	intI1	1014	99.901	1014	63996	65009	1014	1
MVC164	contig00034	intI1	1014	99.901	1014	9515	10528	1	1014
MVC207	contig00136	intI1	1014	99.901	1014	140	1153	1	1014
MVC207	contig00142	intI1	1014	100	104	969	1072	1014	911
MVC207	contig00251	intI1	1014	100	104	1	104	911	1014
MVC210	contig00047	intI1	1014	99.901	1014	5845	6858	1014	1
MVC212	contig00050	intI1	1014	99.901	1014	15591	16604	1	1014
MVC217	contig00019	intI1	1014	99.901	1014	5845	6858	1014	1
MVC227	contig00033	intI1	1014	99.123	114	2010	2123	1	114
MVC227	contig00037	intI1	1014	100	224	197	420	791	1014
MVC278	contig00028	intI1	1014	99.901	1014	17294	18307	1	1014
MVC279	contig00041	intI1	1014	100	1014	5420	6433	1	1014
MVC307	contig00078	intI1	1014	99.901	1014	117	1130	1014	1
MVC308	contig00088	intI1	1014	99.901	1014	118	1131	1014	1
MVC313	contig00052	intI1	1014	99.82	556	107	661	556	1
MVC33	contig00103	intI1	1014	99.901	1014	140	1153	1	1014
MVC340	contig00025	intI1	1014	99.901	1014	840	1853	1	1014
MVC367	contig00029	intI1	1014	99.901	1014	13602	14615	1014	1
MVC368	contig00119	intI1	1014	100	1014	1065	2078	1014	1
MVC369	contig00032	intI1	1014	100	1014	3815	4828	1014	1
MVC374	contig00027	intI1	1014	99.901	1014	21001	22014	1014	1
MVC380	contig00032	intI1	1014	99.901	1014	21001	22014	1014	1
MVC404	contig00014	intI1	1014	99.901	1014	97758	98771	1014	1
MVC408	contig00073	intI1	1014	100	1014	747	1760	1	1014
MVC435	contig00076	intI1	1014	99.901	1014	668	1681	1014	1
MVC445	contig00039	intI1	1014	100	1014	333	1346	1014	1
MVC45	contig00069	intI1	1014	99.901	1014	180	1193	1	1014
MVC463	contig00012	intI1	1014	100	1014	83078	84091	1	1014
MVC465	contig00041	intI1	1014	99.866	746	9332	10077	1	746
MVC466	contig00037	intI1	1014	99.866	746	9332	10077	1	746
MVC475	contig00036	intI1	1014	100	1014	3234	4247	1	1014
MVC476	contig00044	intI1	1014	99.866	746	110	855	746	1
MVC478	contig00079	intI1	1014	100	548	109	656	548	1
MVC479	contig00076	intI1	1014	100	548	109	656	548	1
MVC482	contig00032	intI1	1014	99.901	1014	11656	12669	1	1014
MVC491	contig00052	intI1	1014	100	1014	5844	6857	1014	1
MVC492	contig00039	intI1	1014	99.866	746	9332	10077	1	746
MVC495	contig00052	intI1	1014	100	1014	4828	5841	1	1014
MVC4	contig00053	intI1	1014	99.803	1014	577	1590	1014	1
MVC506	contig00055	intI1	1014	100	682	9331	10012	1	682
MVC508	contig00054	intI1	1014	100	682	9331	10012	1	682
MVC530	contig00038	intI1	1014	99.866	746	109	854	746	1
MVC532	contig00052	intI1	1014	100	682	9331	10012	1	682
MVC536	contig00037	intI1	1014	99.866	746	9332	10077	1	746
MVC538	contig00047	intI1	1014	100	1014	6314	7327	1014	1
MVC55	contig00023	intI1	1014	99.901	1014	63996	65009	1014	1
MVC560	contig00023	intI1	1014	99.901	1014	12204	13217	1	1014
MVC562	contig00032	intI1	1014	99.901	1014	37773	38786	1014	1
MVC563	contig00029	intI1	1014	99.901	1014	6110	7123	1014	1
MVC56	contig00077	intI1	1014	99.901	1014	8106	9119	1014	1
MVC570	contig00037	intI1	1014	99.901	1014	39349	40362	1014	1
MVC571	contig00034	intI1	1014	99.901	1014	840	1853	1	1014
MVC576	contig00037	intI1	1014	99.866	746	109	854	746	1
MVC57	contig00042	intI1	1014	99.901	1014	840	1853	1	1014
MVC594	contig00027	intI1	1014	99.901	1014	840	1853	1	1014
MVC623	contig00032	intI1	1014	99.901	1014	28153	29166	1	1014
MVC624	contig00060	intI1	1014	99.859	708	106	813	708	1
MVC64	contig00059	intI1	1014	99.803	1014	577	1590	1014	1
MVC675	contig00051	intI1	1014	100	1014	386	1399	1014	1
MVC777	contig00044	intI1	1014	100	1014	6314	7327	1014	1
MVC778	contig00044	intI1	1014	100	1014	14034	15047	1	1014
MVC793	contig00017	intI1	1014	99.901	1014	58441	59454	1014	1
MVC815	contig00048	intI1	1014	99.803	1014	9582	10595	1	1014
MVC87	contig00042	intI1	1014	99.866	746	9332	10077	1	746
MVC99	contig00091	intI1	1014	99.901	1014	3032	4045	1	1014
