#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MVC1.fasta	contig00002	4865	6180	+	pUTI89_NC_007941	33547-34871/114230	....=.../......	4/13	1.15	84.85	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00002	6175	6826	+	pUTI89_NC_007941	36826-37472/114230	....=.../......	1/5	0.57	86.66	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00004	378320	379734	+	pUTI89_NC_007941	33430-34871/114230	....=.../......	9/29	1.24	83.51	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00004	379729	380375	+	pUTI89_NC_007941	36826-37472/114230	....=..........	0/0	0.57	84.85	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00007	247584	248299	+	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	78.83	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00007	317127	317322	+	pUTI89_NC_007941	34871-35066/114230	....=..........	0/0	0.17	99.49	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00018	59624	59834	+	pUTI89_NC_007941	41561-41771/114230	.....=.........	0/0	0.18	80.57	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00018	61090	61300	-	pUTI89_NC_007941	36615-36825/114230	....=..........	0/0	0.18	99.53	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00020	119	1445	-	pUTI89_NC_007941	60362-61688/114230	.......==......	0/0	1.16	98.42	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00020	4356	4527	-	pUTI89_NC_007941	3307-3482/114230	=......./......	1/4	0.15	88.07	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00023	13946	16824	+	pUTI89_NC_007941	37478-40345/114230	....=.../......	2/13	2.51	96.25	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00023	17136	17346	-	pUTI89_NC_007941	36615-36825/114230	....=..........	0/0	0.18	100.00	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00024	6772	8991	-	pUTI89_NC_007941	30489-32720/114230	...==.../......	3/14	1.94	88.18	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00024	10551	10803	-	pUTI89_NC_007941	40457-40709/114230	.....=.........	0/0	0.22	96.05	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00025	4764	4851	+	pUTI89_NC_007941	40457-40544/114230	.....=.........	0/0	0.08	97.73	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00026	4555	4700	-	pUTI89_NC_007941	58303-58447/114230	.......=/......	1/1	0.13	89.73	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00026	5497	5700	+	pUTI89_NC_007941	33421-33624/114230	....=..........	0/0	0.18	80.39	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00026	10104	10384	+	pUTI89_NC_007941	33276-33574/114230	....=.../......	6/22	0.24	75.42	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00033	2564	2839	+	pUTI89_NC_007941	19802-20077/114230	..=............	0/0	0.24	90.58	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00033	3032	3675	+	pUTI89_NC_007941	20087-20730/114230	..=............	0/0	0.56	97.52	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00036	1	195	-	pUTI89_NC_007941	34872-35066/114230	....=..........	0/0	0.17	98.97	pUTI89		pUTI89_NC_007941	
MVC1.fasta	contig00040	1	1770	-	pUTI89_NC_007941	34956-36725/114230	....=..........	0/0	1.55	99.55	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MVC10.fasta	contig00001	351971	352058	-	pUTI89_NC_007941	16206-16293/114230	..=............	0/0	0.08	88.64	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00006	142541	143256	+	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	80.50	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	1	1577	+	pUTI89_NC_007941	54970-56546/114230	.......=.......	0/0	1.38	99.18	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	1570	2723	+	pUTI89_NC_007941	58432-59585/114230	.......=.......	0/0	1.01	97.31	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	2720	6984	+	pUTI89_NC_007941	61717-65980/114230	.......=/=.....	8/15	3.73	92.98	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	7243	7310	+	pUTI89_NC_007941	74885-74952/114230	.........=.....	0/0	0.06	92.65	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	7693	11582	+	pUTI89_NC_007941	69980-73866/114230	......../==....	12/21	3.39	86.20	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	12421	12774	+	pUTI89_NC_007941	64467-64819/114230	.......=/......	7/15	0.30	87.53	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	110737	111090	-	pUTI89_NC_007941	64467-64819/114230	.......=/......	7/15	0.30	87.53	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	111929	115818	-	pUTI89_NC_007941	69980-73866/114230	......../==....	12/21	3.39	86.20	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	116201	116268	-	pUTI89_NC_007941	74885-74952/114230	.........=.....	0/0	0.06	92.65	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	116527	120791	-	pUTI89_NC_007941	61717-65980/114230	.......=/=.....	8/15	3.73	92.98	pUTI89		pUTI89_NC_007941	
MVC10.fasta	contig00012	120788	121941	-	pUTI89_NC_007941	58432-59585/114230	.......=.......	0/0	1.01	97.31	pUTI89		pUTI89_NC_007941	
