name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
MVC100	4984967	72	69235.65	520743	200	0	0	267848	7	189742	11	79026	19
MVC102	5074880	104	48796.92	692339	202	0	0	240003	6	173797	11	34369	21
MVC103	5185070	129	40194.34	449146	200	0	0	173642	9	106414	17	40452	33
MVC107	5133200	94	54608.51	1227784	202	0	0	366966	4	138927	9	47277	20
MVC108	5120122	74	69190.84	819543	202	0	0	433688	5	307964	7	110778	13
MVC109	5174061	102	50726.09	606726	200	0	0	326001	7	203317	11	80637	19
MVC10	5227608	63	82977.90	901701	201	0	0	543480	4	248410	8	106270	14
MVC110	5178838	176	29425.22	383817	203	0	0	92860	18	53477	34	22300	61
MVC116	5070589	104	48755.66	692600	202	0	0	222776	6	159158	12	52722	21
MVC117	4503202	54	83392.63	899627	207	0	0	724978	3	253296	6	137769	10
MVC118	4503085	52	86597.79	899278	217	0	0	725134	3	253362	6	137769	10
MVC119	5218666	182	28673.99	499286	212	0	0	203866	7	133413	13	32929	28
MVC121	5062931	78	64909.37	773564	201	0	0	385570	5	198339	8	97628	15
MVC122	4765010	65	73307.85	496216	208	0	0	201190	8	158353	13	106521	20
MVC126	4917152	138	35631.54	402563	202	0	0	127488	14	57627	25	27110	48
MVC127	5369286	281	19107.78	238957	202	0	0	102468	18	66272	31	22524	55
MVC130	5034385	227	22177.91	204793	200	0	0	92181	19	52702	34	23981	62
MVC133	5018113	84	59739.44	548853	220	0	0	344854	7	186085	10	74806	19
MVC134	4901760	80	61272.00	543415	202	0	0	362414	6	128037	10	60994	20
MVC135	5451579	121	45054.37	494683	202	0	0	192373	9	116246	16	41911	30
MVC136	5138688	72	71370.67	1188113	205	0	0	366927	4	224192	8	105539	14
MVC137	5048112	101	49981.31	613004	207	0	0	171791	8	113344	15	42506	29
MVC138	5137798	94	54657.43	1188013	202	0	0	339760	4	165042	9	50083	19
MVC139	5227857	116	45067.73	437677	213	0	0	216701	9	125916	15	62766	27
MVC140	4747921	136	34911.18	307673	200	0	0	181662	10	113038	17	43251	31
MVC141	4893923	86	56906.08	753410	207	0	0	192382	8	146326	13	67985	23
MVC142	5204873	167	31166.90	432565	201	0	0	186509	10	111648	17	30279	34
MVC145	5317988	199	26723.56	413129	206	0	0	122641	13	86009	24	23360	47
MVC147	5054283	168	30085.02	317701	200	0	0	124739	13	90542	23	35828	41
MVC148	5241988	155	33819.28	367150	204	0	0	214107	9	96197	17	31026	37
MVC151	5106603	108	47283.36	382101	202	0	0	203298	9	147889	15	41616	25
MVC152	5066838	102	49674.88	667774	205	0	0	361709	6	197043	9	68469	17
MVC154	4861265	115	42271.87	318455	200	0	0	152062	11	86691	21	42525	37
MVC164	5231767	96	54497.57	666455	201	0	0	314543	6	158122	11	58259	20
MVC166	5089207	81	62829.72	926568	200	0	0	366856	5	197043	8	81372	16
MVC16	5009694	86	58252.26	466619	201	0	0	345418	7	275854	10	133330	15
MVC171	4777002	102	46833.35	596885	200	0	0	197481	8	101890	15	43536	28
MVC175	4681073	83	56398.47	610369	211	0	0	193420	8	133511	14	76727	24
MVC176	4704077	83	56675.63	801415	207	0	0	199667	7	111355	14	68580	24
MVC180	5073189	115	44114.69	411920	204	0	0	225840	9	142995	15	75924	23
MVC182	5160024	129	40000.19	436586	200	0	0	249010	8	148602	14	47558	25
MVC183	4962192	55	90221.67	736568	213	0	0	443789	5	284890	8	129526	13
MVC184	4925813	85	57950.74	466131	208	0	0	186100	8	120689	15	59644	25
MVC186	4460550	54	82602.78	625455	202	0	0	348295	5	199301	9	117353	15
MVC18	5167625	123	42013.21	420559	209	0	0	205846	9	152725	14	41564	25
MVC198	5167861	78	66254.63	735406	203	0	0	284162	6	195554	11	53515	20
MVC199	4794546	92	52114.63	561753	220	0	0	228863	7	115598	13	43918	25
MVC1	5030290	66	76216.52	1037203	206	0	0	359387	5	198332	8	95671	15
MVC202	5267883	134	39312.56	551557	216	0	0	210870	8	124932	14	50497	25
MVC204	4742555	46	103099.02	1122632	202	0	0	684005	3	534174	5	95284	10
MVC205	4741803	40	118545.07	1122662	202	0	0	684005	3	534174	5	95284	10
MVC206	4982834	99	50331.66	792432	205	0	0	431426	5	190470	9	104453	15
MVC207	5545057	259	21409.49	315650	201	0	0	141509	13	84855	24	18907	52
MVC208	4926901	62	79466.15	656559	210	0	0	189511	9	130272	14	80153	24
MVC209	5176383	117	44242.59	557801	202	0	0	308303	7	167598	12	58089	21
MVC20	5059595	77	65709.03	1188348	202	0	0	431719	4	307961	6	103745	13
MVC210	4861511	131	37110.77	308981	200	0	0	145501	11	88353	20	37055	38
MVC211	4972839	34	146259.97	1157342	239	0	0	638884	3	279387	6	128065	10
MVC212	4864709	147	33093.26	277078	200	0	0	139968	12	81215	22	35953	42
MVC214	5098429	84	60695.58	714202	202	0	0	385408	5	190470	9	81317	17
MVC215	5118714	136	37637.60	624159	202	0	0	206189	8	129523	14	55812	26
MVC217	8135758	4316	1885.02	87113	200	0	0	3448	511	1704	1205	673	2763
MVC219	5232717	134	39050.13	1148253	201	0	0	238867	5	143492	12	42600	24
MVC222	5132497	102	50318.60	557017	202	0	0	314918	7	216826	11	82373	17
MVC223	5234339	183	28602.95	701993	201	0	0	220405	6	142127	11	42167	21
MVC224	4966996	99	50171.68	486760	207	0	0	219469	8	120019	14	55517	26
MVC225	5292478	56	94508.54	629036	202	0	0	375046	6	350376	9	130848	13
MVC227	4855759	71	68390.97	927578	207	0	0	514684	4	286920	7	102700	13
MVC234	5275532	139	37953.47	611453	202	0	0	271682	7	138932	12	52058	23
MVC239	4990496	123	40573.14	668836	201	0	0	345450	5	147385	10	46410	20
MVC243	4685281	45	104117.36	816249	202	0	0	427534	4	244692	7	86790	14
MVC249	5207305	159	32750.35	666933	201	0	0	229091	7	132671	13	41496	25
MVC251	5127180	184	27865.11	214165	212	0	0	96175	20	58684	33	21559	61
MVC252	5062768	71	71306.59	1206561	204	0	0	431426	4	221541	7	95708	14
