#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MVC1.fasta	contig00001	554905	555246	+	KU578032.1	135-476/143812	=..............	0/0	0.24	97.66	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00001	555510	555620	+	KU578032.1	30418-30528/143812	...=...........	0/0	0.08	100.00	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00001	1037117	1037188	+	KU578032.1	535-605/143812	=......./......	1/1	0.05	93.06	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00002	19615	20073	+	KU578032.1	10525-10965/143812	.=....../......	4/18	0.31	78.21	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00002	24706	26003	+	KU578032.1	21773-23081/143812	..=...../......	7/13	0.90	89.85	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00002	33918	34164	+	KU578032.1	137809-138054/143812	......../.....=	1/1	0.17	96.36	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00004	375172	375261	-	KU578032.1	69366-69455/143812	.......=.......	0/0	0.06	90.00	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00004	377749	377817	-	KU578032.1	137739-137807/143812	..............=	0/0	0.05	92.75	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00004	380376	380642	-	KU578032.1	136035-136302/143812	......../.....=	2/3	0.18	75.09	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00006	108178	108481	-	KU578032.1	137809-138111/143812	......../.....=	2/3	0.21	86.56	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00006	119191	120032	-	KU578032.1	7813-8630/143812	=......./......	10/32	0.57	87.59	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00006	143676	147337	+	KU578032.1	122234-125892/143812	......../...==.	3/5	2.54	96.64	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00007	302739	302841	-	KU578032.1	21235-21337/143812	..=............	0/0	0.07	95.15	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00007	302959	313513	-	KU578032.1	10691-21241/143812	.==...../......	5/8	7.34	98.53	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00007	315739	315914	-	KU578032.1	10211-10381/143812	==....../......	1/5	0.12	92.61	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00015	73092	73364	-	KU578032.1	98434-98705/143812	......../.=....	1/1	0.19	75.46	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00018	752	862	+	KU578032.1	137809-137919/143812	..............=	0/0	0.08	81.08	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00018	33753	33885	+	KU578032.1	6222-6356/143812	=......./......	6/14	0.09	78.72	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00020	119	515	-	KU578032.1	127621-128017/143812	.............=.	0/0	0.28	96.72	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00020	4052	4162	-	KU578032.1	30418-30528/143812	...=...........	0/0	0.08	96.40	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00020	4356	4527	+	KU578032.1	45683-45858/143812	....=.../......	1/4	0.12	88.07	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00024	10548	10803	+	KU578032.1	7289-7544/143812	=..............	0/0	0.18	96.48	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00024	11986	12323	+	KU578032.1	136036-136371/143812	......../.....=	4/4	0.23	76.40	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00025	4764	4851	-	KU578032.1	7457-7544/143812	=..............	0/0	0.06	96.59	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC1.fasta	contig00066	120	191	+	KU578032.1	535-605/143812	=......./......	1/1	0.05	93.06	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MVC10.fasta	contig00001	351976	352058	+	KU578032.1	137104-137186/143812	..............=	0/0	0.06	89.16	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00001	790855	791357	-	KU578032.1	68197-68700/143812	......=./......	1/1	0.35	94.44	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00003	593620	593892	+	KU578032.1	98434-98705/143812	......../.=....	1/1	0.19	75.82	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00007	109284	109378	-	KU578032.1	7813-7908/143812	=......./......	1/1	0.07	85.42	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00012	1	111	+	KU578032.1	127345-127455/143812	.............=.	0/0	0.08	100.00	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00012	5243	5603	-	KU578032.1	106474-106833/143812	......../..=...	1/1	0.25	88.64	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00012	5601	6984	-	KU578032.1	102669-104046/143812	......../.==...	2/6	0.96	90.46	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00012	7243	7315	-	KU578032.1	93705-93777/143812	.........=.....	0/0	0.05	91.78	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
MVC10.fasta	contig00012	7693	11582	-	KU578032.1	94782-98684/143812	......../.=....	15/27	2.70	85.55	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
